origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
WHOLE_SALE,9,black,L,freetime,,artificial,metallic,loose,,,geometric,boho,tops,warm,2,False,
WHOLE_SALE,9,black,M,freetime,,artificial,metallic,loose,,,geometric,boho,tops,warm,2,False,
WHOLE_SALE,9,black,S,freetime,,artificial,metallic,loose,,,geometric,boho,tops,warm,2,False,
WHOLE_SALE,9,black,L,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,black,M,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,black,S,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,blue_dark,L,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,blue_dark,M,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,blue_dark,S,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,green_light,L,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,green_light,M,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,green_light,S,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,yellow_light,L,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,yellow_light,M,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,yellow_light,S,freetime,,synthetic,,straight,,,smooth,classic,tops,warm,2,False,
WHOLE_SALE,9,black,L,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,black,M,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,black,S,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
WHOLE_SALE,9,green_light,L,freetime,,synthetic,,straight,,,smooth,boho,tops,warm,2,False,
